# v2.0.0 Rename Manifest

Per-file changed-line / replacement counts from `scripts/apply_rename.py`.

| File | Lines changed | Replacements |
|------|---------------|--------------|
| `catalog/commands/install-pre-commit-review-hook.md` | 3 | 3 |
| `catalog/hooks/auto-format-on-write.sh` | 6 | 6 |
| `catalog/hooks/claude-diff-review.sh` | 7 | 7 |
| `catalog/hooks/codex-diff-review.sh` | 7 | 7 |
| `catalog/hooks/gemini-diff-review.sh` | 7 | 7 |
| `catalog/hooks/large-file-guard.sh` | 4 | 4 |
| `catalog/hooks/lint-on-write.sh` | 6 | 6 |
| `catalog/hooks/notify-on-complete.sh` | 4 | 4 |
| `catalog/hooks/old-version-docs-guard.ps1` | 5 | 6 |
| `catalog/hooks/old-version-docs-guard.sh` | 8 | 8 |
| `catalog/hooks/opencode-diff-review.sh` | 7 | 7 |
| `catalog/hooks/session-summary.sh` | 4 | 4 |
| `catalog/hooks/tests/test_diff_review_hooks.py` | 4 | 4 |
| `catalog/hooks/tests/test_old_version_docs_guard.py` | 10 | 10 |

**Totals**: 14 files, 82 lines, 83 replacements.
